Marrakech,50 rue sourya,40000,31.6343495,-8.0107428
Casablanca,30 boulevard emile zola,20250,33.5914950,-7.6012452
Agadir ,20 boulevard du 20 aout,80000,30.4108647,-9.5964080
Rabat,20 avenue al madj,10000,33.9646175,-6.8938290
Essaouira,10 avenue du caire,44000,31.5112891,-9.7697538
Meknès,10 boulevard essaadiyine,50000,33.8924092,-5.5333516
Fès,15 Avenue Iben Athir,30000,34.0219933,-5.0115126
Tanger,25 Avenue Moulay Rachid,90000,35.7721730,-5.8300080
Ouarzazate,30 Avenue Moulay Abdellah,45000,30.9320099,-6.9005277
Oujda,35 Boulevard Allal Al Fassi,60000,34.6829989,-1.8827802
chefchaouen,40 Av. Moulay Abdelsalam,91000,35.1701412,-5.2676925
mohammédia,50 Boulevard d'Oran,20650,33.6813852,-7.3765308
Casablanca,60 Boulevard Mohammed VI,20250,33.5724320,-7.5973439
Marrakech,70 Avenue Guemassa,40000,31.5936190,-8.0301570
Rabat,20 Avenue des Nations Unies,10000,33.9922331,-6.8460765
Agadir ,75 Avenue Kadi Ayad,80000,30.4179615,-9.5761529
Tanger,45 Avenue Mohammed V,90000,35.7755361,-5.8003769
Casablanca,10 Boulevard du Fouarat,20250,33.5778450,-7.5650926
Rabat,65 Avenue Lalla Meriem,10000,33.9745807,-6.8534789
Tanger,70 Avenue Ben Abi Zaraa,90000,35.7607175,-5.8336544
